Date,Close/Last,Volume,Open,High,Low
03/06/2017,7.0575,19197080,7.03,7.0967,6.9758
03/03/2017,7.1067,17319415,7.0533,7.1167,6.9992
03/02/2017,7.07,21398301,7.18,7.18,7.0467
03/01/2017,7.1833,31545553,7.08,7.2167,7.0467
02/28/2017,6.9583,20462840,7.0142,7.0208,6.895
02/27/2017,7.0133,26131690,6.9558,7.0175,6.9176
02/24/2017,6.9925,25338586,6.855,6.9925,6.85
02/23/2017,6.955,31211724,7.0617,7.0625,6.8683
02/22/2017,7.0308,21418089,7.0083,7.0485,6.9717
02/21/2017,7.03,33230749,6.9683,7.04,6.9525
02/17/2017,6.92,25752202,6.8058,6.925,6.8017
02/16/2017,6.8342,31742797,6.8567,6.8971,6.785
02/15/2017,6.84,36681339,6.7158,6.8533,6.7
02/14/2017,6.7242,31259401,6.6658,6.7267,6.6033
02/13/2017,6.6617,21370329,6.6083,6.6858,6.5983
02/10/2017,6.5467,23932078,6.5275,6.575,6.4942
02/09/2017,6.4825,25459762,6.4333,6.5271,6.4233
02/08/2017,6.4158,18429403,6.3575,6.4408,6.3221
02/07/2017,6.38,23093673,6.3483,6.4242,6.3386
02/06/2017,6.315,20645432,6.2608,6.3183,6.2442
02/03/2017,6.2917,24090958,6.2625,6.3125,6.2433
02/02/2017,6.2375,28886364,6.2217,6.2958,6.17
02/01/2017,6.2533,36113042,6.2567,6.2933,6.1733
01/31/2017,6.1367,29469276,6.1075,6.1367,6.0242
01/30/2017,6.1708,37397403,6.2475,6.2508,6.065
01/27/2017,6.3142,16556383,6.3167,6.3353,6.2567
01/26/2017,6.2842,25238446,6.2867,6.3217,6.2508
01/25/2017,6.2583,27905975,6.1908,6.2675,6.1775
01/24/2017,6.0808,25754254,5.9892,6.1067,5.9642
01/23/2017,5.9567,27461207,5.925,5.9833,5.8475
01/20/2017,5.9433,28400831,5.9833,6.0292,5.9
01/19/2017,5.905,29364660,5.9375,6.0029,5.8717
01/18/2017,5.9208,24486118,5.9083,5.9325,5.8608
01/17/2017,5.8808,27677039,5.8833,5.9167,5.83
01/13/2017,5.9367,29287020,5.8883,5.965,5.8867
01/12/2017,5.8692,40222840,5.8408,5.8867,5.7108
01/11/2017,5.8992,46979530,5.8583,5.9033,5.7725
01/10/2017,5.8542,33111334,5.8183,5.9092,5.7879
01/09/2017,5.8208,32918494,5.7767,5.85,5.765
01/06/2017,5.7625,47883538,5.6304,5.8067,5.5877
01/05/2017,5.62,30655031,5.5175,5.6271,5.5125
01/04/2017,5.5221,33209733,5.4546,5.5525,5.4476
01/03/2017,5.4296,48653865,5.4004,5.4954,5.3488
12/30/2016,5.3013,52626630,5.4921,5.4954,5.25
12/29/2016,5.4608,42846686,5.4846,5.5192,5.4117
12/28/2016,5.4875,45602844,5.6517,5.6696,5.4754
12/27/2016,5.6175,37776258,5.5667,5.7138,5.5608
12/23/2016,5.5367,16059755,5.4971,5.5392,5.4792
12/22/2016,5.5196,32551534,5.5704,5.5779,5.46
12/21/2016,5.5679,24098669,5.5896,5.6008,5.5331
12/20/2016,5.5875,31376471,5.5642,5.6146,5.5542
12/19/2016,5.5208,41585799,5.4771,5.6208,5.4525
12/16/2016,5.4542,57357050,5.5471,5.5829,5.4238
12/15/2016,5.5213,53100606,5.5029,5.6125,5.4734
12/14/2016,5.4879,70914087,5.5392,5.5992,5.4409
12/13/2016,5.5283,84299621,5.3783,5.6138,5.3708
12/12/2016,5.3204,47424610,5.3217,5.3567,5.259
12/09/2016,5.3954,51298927,5.3317,5.4046,5.3317
12/08/2016,5.2721,56405379,5.2533,5.3146,5.2229
12/07/2016,5.24,74239741,5.0229,5.265,4.9792
12/06/2016,5.0525,34529564,5.055,5.0813,4.9933
12/05/2016,5.0163,44921148,4.9821,5.0785,4.9134
12/02/2016,4.9029,51477535,4.8879,4.965,4.8446
12/01/2016,4.8833,93091510,5.1408,5.1413,4.8529
11/30/2016,5.1671,75455124,5.3508,5.3638,5.1388
11/29/2016,5.34,37239810,5.2938,5.4133,5.255
11/28/2016,5.2892,35678803,5.2946,5.3583,5.2675
11/25/2016,5.3188,19140033,5.2929,5.3267,5.2713
11/23/2016,5.2679,36881730,5.2808,5.2988,5.2
11/22/2016,5.3321,38172425,5.3488,5.375,5.295
11/21/2016,5.2846,41644959,5.1629,5.3008,5.1608
11/18/2016,5.1304,31335215,5.1983,5.2323,5.1146
11/17/2016,5.1888,37597602,5.0679,5.1888,5.0363
11/16/2016,5.0713,43073918,4.9146,5.0871,4.9146
11/15/2016,4.99,52507878,4.89,5.0354,4.8763
11/14/2016,4.7692,88369009,4.945,4.9558,4.715
11/11/2016,4.9358,56758779,4.8638,4.9717,4.8167
11/10/2016,4.94,123858237,5.2496,5.2792,4.7279
11/09/2016,5.1867,91336271,4.9338,5.2096,4.9196
11/08/2016,5.115,53719805,5,5.1825,4.9667
11/07/2016,5.0167,50301632,4.9079,5.0325,4.8888
11/04/2016,4.6813,42397622,4.6913,4.7946,4.6575
11/03/2016,4.735,43398061,4.8554,4.9013,4.7171
11/02/2016,4.8754,40455376,4.9892,5.0229,4.8421
11/01/2016,5.0058,50812831,5.1438,5.1438,4.8675
10/31/2016,5.1108,28383145,5.19,5.19,5.1083
10/28/2016,5.14,71458191,5.1808,5.2642,5.0833
10/27/2016,5.2304,51236095,5.3696,5.3825,5.2067
10/26/2016,5.3046,47542642,5.3042,5.3901,5.2542
10/25/2016,5.4083,29531592,5.4679,5.4758,5.387
10/24/2016,5.4629,34283469,5.3775,5.4738,5.3733
10/21/2016,5.2708,29303449,5.2254,5.2829,5.1763
10/20/2016,5.2142,34819940,5.2121,5.2508,5.1258
10/19/2016,5.2363,23481029,5.2246,5.2571,5.2079
10/18/2016,5.2342,38382017,5.2813,5.3096,5.2292
10/17/2016,5.1033,27820226,5.1375,5.1641,5.0828
10/14/2016,5.1388,40895367,5.1963,5.2633,5.1342
10/13/2016,5.1271,52055070,5.0796,5.1692,4.9863
10/12/2016,5.1879,40887951,5.2042,5.2362,5.135
10/11/2016,5.1988,64673612,5.4117,5.4183,5.1271
10/10/2016,5.4229,29884464,5.4063,5.4654,5.4033
10/07/2016,5.3275,45260628,5.3796,5.3996,5.2508
10/06/2016,5.3625,37181706,5.3508,5.3971,5.2863
10/05/2016,5.3708,34397108,5.3638,5.4229,5.3561
10/04/2016,5.3154,56099259,5.3838,5.4229,5.2573
10/03/2016,5.3458,40798023,5.3396,5.3617,5.2771
09/30/2016,5.3579,39977704,5.2983,5.4112,5.2721
09/29/2016,5.25,57204266,5.3408,5.3671,5.1796
09/28/2016,5.3638,37719738,5.3538,5.3733,5.2825
09/27/2016,5.3346,41320239,5.1817,5.3442,5.1617
09/26/2016,5.1875,40769559,5.2279,5.2467,5.1617
09/23/2016,5.3196,36488995,5.4,5.4029,5.295
09/22/2016,5.4171,38991593,5.3925,5.4399,5.3733
09/21/2016,5.2933,69096977,5.2083,5.3171,5.1204
09/20/2016,5.1438,37854690,5.1667,5.2083,5.12
09/19/2016,5.1154,45620892,5.2229,5.2723,5.0879
09/16/2016,5.1833,40762023,5.1763,5.2008,5.1083
09/15/2016,5.1892,65951899,4.9667,5.2138,4.9625
09/14/2016,4.9592,55677891,4.9088,5.0417,4.9038
09/13/2016,4.8963,62580814,4.9475,4.995,4.8204
09/12/2016,5.0146,65244236,4.6983,5.0476,4.6896
09/09/2016,4.77,80242400,5.0354,5.0667,4.77
09/08/2016,5.1613,34942844,5.2083,5.2113,5.1213
09/07/2016,5.2513,28993729,5.2579,5.2808,5.1954
09/06/2016,5.2417,32986798,5.1771,5.2458,5.1417
09/02/2016,5.1463,45358764,5.1771,5.2079,5.092
09/01/2016,5.0867,42857726,5.0675,5.1175,4.9925
08/31/2016,5.0642,35802811,5.0554,5.0782,4.9979
08/30/2016,5.0775,32867974,5.105,5.1479,5.0258
08/29/2016,5.1238,24892156,5.1125,5.1698,5.1096
08/26/2016,5.1096,53646461,5.0917,5.2067,5.0167
08/25/2016,5.085,29008105,5.0688,5.1317,5.0513
